rep,target_prevalence,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to,alpha_used
2,0.3,rf,unweighted,0.787,0.1607,0.0117,0.0158,1.0,0.002,0.2998,0.3,0.1298,0.1722,0.6,
2,0.3,rf,weighted,0.7864,0.1769,0.1194,0.1194,1.022,-0.676,0.4194,0.3,0.1094,0.1536,0.6,
2,0.3,hgb,unweighted,0.7726,0.167,0.0294,0.0334,0.785,-0.146,0.3,0.3,0.1243,0.1638,0.6,
2,0.3,hgb,weighted,0.7701,0.1866,0.1246,0.1259,0.777,-0.738,0.4235,0.3,0.0988,0.1566,0.6,
2,0.4,logreg,unweighted,0.7879,0.1832,0.0458,0.0461,0.991,-0.004,0.4,0.4,0.1837,0.2715,0.6,
2,0.4,logreg,weighted,0.7878,0.1879,0.0773,0.0792,0.968,-0.402,0.4761,0.4,0.1697,0.2637,0.6,
2,0.4,rf,unweighted,0.7877,0.1803,0.0098,0.0221,0.99,-0.003,0.3999,0.4,0.1798,0.2734,0.6,
2,0.4,rf,weighted,0.7868,0.1847,0.0599,0.0601,0.995,-0.325,0.4599,0.4,0.1705,0.2697,0.6,
2,0.4,hgb,unweighted,0.7749,0.1867,0.031,0.0367,0.786,-0.07,0.3999,0.4,0.1744,0.2661,0.6,
2,0.4,hgb,weighted,0.7752,0.1909,0.069,0.0711,0.788,-0.356,0.4626,0.4,0.1674,0.2671,0.6,
2,0.5,logreg,unweighted,0.7924,0.1858,0.0301,0.0377,0.992,-0.001,0.5,0.5,0.2253,0.3815,0.6,
2,0.5,logreg,weighted,0.7924,0.1858,0.0301,0.0377,0.992,-0.001,0.5,0.5,0.2253,0.3815,0.6,
2,0.5,rf,unweighted,0.7937,0.1839,0.0144,0.0177,1.01,0.008,0.4986,0.5,0.2253,0.3835,0.6,
2,0.5,rf,weighted,0.7942,0.1837,0.0181,0.0226,1.01,0.008,0.4986,0.5,0.225,0.3845,0.6,
2,0.5,hgb,unweighted,0.7833,0.1904,0.0334,0.0335,0.781,-0.01,0.4999,0.5,0.2175,0.3798,0.6,
2,0.5,hgb,weighted,0.7833,0.1904,0.0334,0.0335,0.781,-0.01,0.4999,0.5,0.2175,0.3798,0.6,
3,0.05,logreg,unweighted,0.7641,0.0458,0.0059,0.0138,0.943,-0.15,0.05,0.05,0.0209,0.0011,0.21,
3,0.05,logreg,weighted,0.7671,0.1897,0.3498,0.3498,0.767,-2.903,0.3998,0.05,0.0003,-0.1503,0.05,
3,0.05,rf,unweighted,0.755,0.0445,0.005,0.0104,0.825,-0.435,0.0502,0.05,0.0198,0.0015,0.32,
3,0.05,rf,weighted,0.7409,0.0901,0.1779,0.1779,0.911,-1.994,0.2279,0.05,0.0032,-0.0662,0.05,
3,0.05,hgb,unweighted,0.7247,0.0465,0.0202,0.0202,0.536,-1.07,0.0453,0.05,0.0172,-0.0003,0.18,
3,0.05,hgb,weighted,0.6964,0.1064,0.1659,0.1676,0.452,-2.338,0.2159,0.05,0.0068,-0.0535,0.06,
3,0.1,logreg,unweighted,0.7906,0.0799,0.0241,0.0245,0.979,-0.038,0.0999,0.1,0.0465,0.0243,0.4,
3,0.1,logreg,weighted,0.7905,0.181,0.2995,0.2995,0.85,-2.168,0.3995,0.1,0.003,-0.0898,0.1,
3,0.1,rf,unweighted,0.7845,0.0786,0.0067,0.0204,0.925,-0.137,0.1005,0.1,0.0458,0.0275,0.55,
3,0.1,rf,weighted,0.7824,0.1277,0.1904,0.1904,0.955,-1.598,0.2904,0.1,0.0173,-0.0317,0.12,
3,0.1,hgb,unweighted,0.7698,0.0841,0.0287,0.0297,0.658,-0.552,0.0955,0.1,0.042,0.0203,0.32,
3,0.1,hgb,weighted,0.768,0.1412,0.1843,0.1843,0.628,-1.744,0.2843,0.1,0.0252,-0.0211,0.14,
3,0.15,logreg,unweighted,0.7887,0.1083,0.0248,0.0252,0.983,-0.025,0.15,0.15,0.0664,0.054,0.53,
3,0.15,logreg,weighted,0.7886,0.1834,0.2632,0.2632,0.875,-1.721,0.4132,0.15,0.0152,-0.0275,0.16,
3,0.15,rf,unweighted,0.7891,0.1052,0.0056,0.0151,0.969,-0.043,0.1502,0.15,0.0671,0.0566,0.51,
3,0.15,rf,weighted,0.7859,0.1471,0.1868,0.1868,1.015,-1.308,0.3368,0.15,0.025,-0.0008,0.19,
3,0.15,hgb,unweighted,0.7653,0.1118,0.0277,0.0336,0.703,-0.38,0.1457,0.15,0.0586,0.0495,0.47,
3,0.15,hgb,weighted,0.7588,0.1636,0.1904,0.1929,0.673,-1.438,0.3404,0.15,0.0307,0.0022,0.2,
3,0.2,logreg,unweighted,0.7889,0.1299,0.0264,0.0272,0.991,-0.01,0.1998,0.2,0.0904,0.0904,0.6,
3,0.2,logreg,weighted,0.789,0.1828,0.2254,0.2254,0.916,-1.373,0.4254,0.2,0.0287,0.0287,0.24,
3,0.2,rf,unweighted,0.7879,0.1263,0.0078,0.0152,0.987,-0.014,0.1999,0.2,0.0904,0.0904,0.6,
3,0.2,rf,weighted,0.7865,0.1591,0.1691,0.1696,1.028,-1.072,0.3691,0.2,0.0447,0.0447,0.45,
3,0.2,hgb,unweighted,0.7742,0.1308,0.0261,0.0278,0.741,-0.266,0.1969,0.2,0.086,0.086,0.59,
3,0.2,hgb,weighted,0.7695,0.1684,0.168,0.171,0.728,-1.153,0.3653,0.2,0.0502,0.0502,0.35,
3,0.3,logreg,unweighted,0.7918,0.1627,0.0375,0.0397,0.992,-0.008,0.3003,0.3,0.1375,0.1731,0.6,
3,0.3,logreg,weighted,0.7917,0.1846,0.151,0.151,0.943,-0.841,0.451,0.3,0.0884,0.1458,0.6,
3,0.3,rf,unweighted,0.7937,0.1583,0.014,0.0199,0.993,-0.002,0.2996,0.3,0.1379,0.1726,0.6,
3,0.3,rf,weighted,0.7938,0.1733,0.1164,0.1164,1.024,-0.67,0.4164,0.3,0.114,0.1559,0.6,
3,0.3,hgb,unweighted,0.7779,0.1658,0.0357,0.0357,0.761,-0.167,0.301,0.3,0.1332,0.1672,0.6,
3,0.3,hgb,weighted,0.7764,0.184,0.1258,0.1258,0.761,-0.735,0.421,0.3,0.1046,0.157,0.6,
3,0.4,logreg,unweighted,0.7921,0.1826,0.0464,0.0483,0.992,-0.003,0.3999,0.4,0.1839,0.2735,0.6,
3,0.4,logreg,weighted,0.7921,0.187,0.0777,0.0783,0.965,-0.402,0.4756,0.4,0.1745,0.2655,0.6,
3,0.4,rf,unweighted,0.7982,0.1765,0.0192,0.0207,1.017,0.003,0.4004,0.4,0.1894,0.2784,0.6,
3,0.4,rf,weighted,0.7981,0.1804,0.0597,0.0597,1.028,-0.327,0.4597,0.4,0.1797,0.275,0.6,
3,0.4,hgb,unweighted,0.7888,0.1818,0.0376,0.0415,0.795,-0.068,0.4007,0.4,0.1804,0.2763,0.6,
