cohort,prevalence,n,algo,correction,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
va_longbeach,0.7437,199,logreg,smote,0.632,0.2353,0.2196,0.2323,0.599,1.027,0.531,0.7437,0.0522,0.6721,0.6
va_longbeach,0.7437,199,rf,none,0.5729,0.1918,0.0782,0.1017,0.439,0.574,0.7445,0.7437,0.0535,0.6796,0.6
va_longbeach,0.7437,199,rf,class_weight,0.5718,0.2231,0.1611,0.1648,0.407,0.932,0.5839,0.7437,0.0422,0.6796,0.6
va_longbeach,0.7437,199,rf,oversample,0.5862,0.2334,0.1739,0.1778,0.348,0.975,0.5698,0.7437,0.0633,0.6558,0.6
va_longbeach,0.7437,199,rf,undersample,0.5428,0.2459,0.2277,0.23,0.409,1.045,0.516,0.7437,0.0151,0.6796,0.6
va_longbeach,0.7437,199,rf,smote,0.5634,0.2271,0.1546,0.1903,0.297,0.948,0.5975,0.7437,0.1035,0.6709,0.6
va_longbeach,0.7437,199,hgb,none,0.575,0.2069,0.125,0.1257,0.235,0.752,0.7525,0.7437,0.1028,0.6746,0.6
va_longbeach,0.7437,199,hgb,class_weight,0.5688,0.2447,0.1862,0.1878,0.225,0.974,0.5882,0.7437,0.0703,0.6621,0.6
va_longbeach,0.7437,199,hgb,oversample,0.5321,0.269,0.1989,0.2179,0.063,1.023,0.6317,0.7437,0.0596,0.6219,0.6
va_longbeach,0.7437,199,hgb,undersample,0.5329,0.2654,0.2346,0.2529,0.121,1.062,0.5094,0.7437,0.0015,0.6696,0.6
va_longbeach,0.7437,199,hgb,smote,0.5505,0.2537,0.1864,0.2133,0.112,0.976,0.6506,0.7437,0.0556,0.6231,0.6
