rep,target_prevalence,actual_prevalence,n,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
0,0.3,0.3,6000,rf,weighted + isotonic,0.7967,0.1557,0.0113,0.019,0.944,-0.039,0.3003,0.3,0.1429,0.1744,0.6
0,0.3,0.3,6000,hgb,unweighted,0.7904,0.1619,0.0356,0.0372,0.777,-0.142,0.2991,0.3,0.1379,0.1715,0.6
0,0.3,0.3,6000,hgb,weighted,0.7894,0.1777,0.1186,0.1202,0.772,-0.724,0.4151,0.3,0.1143,0.1658,0.6
0,0.3,0.3,6000,hgb,weighted + Platt,0.789,0.1612,0.0265,0.033,0.994,-0.005,0.3002,0.3,0.1385,0.1713,0.6
0,0.3,0.3,6000,hgb,weighted + isotonic,0.7855,0.1598,0.0127,0.0167,0.948,-0.034,0.2998,0.3,0.1364,0.1713,0.6
0,0.4,0.4,6000,logreg,unweighted,0.7811,0.1855,0.0269,0.0333,0.989,-0.006,0.4002,0.4,0.1732,0.2727,0.6
0,0.4,0.4,6000,logreg,weighted,0.7811,0.1906,0.0771,0.0771,0.967,-0.404,0.4771,0.4,0.1603,0.2662,0.6
0,0.4,0.4,6000,logreg,weighted + Platt,0.7808,0.1857,0.0279,0.0319,0.996,-0.002,0.4,0.4,0.173,0.2728,0.6
0,0.4,0.4,6000,logreg,weighted + isotonic,0.7781,0.1845,0.0088,0.0181,0.939,-0.021,0.4003,0.4,0.1737,0.2731,0.6
0,0.4,0.4,6000,rf,unweighted,0.788,0.1809,0.0179,0.0211,1.008,0.005,0.3995,0.4,0.1812,0.274,0.6
0,0.4,0.4,6000,rf,weighted,0.788,0.1848,0.0605,0.0605,1.02,-0.325,0.4605,0.4,0.1706,0.2702,0.6
0,0.4,0.4,6000,rf,weighted + Platt,0.7877,0.1812,0.0121,0.0177,0.998,-0.001,0.4,0.4,0.1804,0.2738,0.6
0,0.4,0.4,6000,rf,weighted + isotonic,0.7836,0.182,0.0103,0.0198,0.946,-0.018,0.4002,0.4,0.1793,0.2731,0.6
0,0.4,0.4,6000,hgb,unweighted,0.7692,0.19,0.0392,0.0397,0.755,-0.074,0.3987,0.4,0.1686,0.2676,0.6
0,0.4,0.4,6000,hgb,weighted,0.7695,0.1942,0.0694,0.0719,0.754,-0.347,0.461,0.4,0.1603,0.2676,0.6
0,0.4,0.4,6000,hgb,weighted + Platt,0.7692,0.189,0.0234,0.0332,0.997,-0.0,0.3999,0.4,0.1682,0.2679,0.6
0,0.4,0.4,6000,hgb,weighted + isotonic,0.7637,0.1891,0.0132,0.0215,0.914,-0.028,0.4,0.4,0.1662,0.2702,0.6
0,0.5,0.5,6000,logreg,unweighted,0.7941,0.185,0.0273,0.0295,0.993,-0.001,0.5,0.5,0.2308,0.3828,0.6
0,0.5,0.5,6000,logreg,weighted,0.7941,0.185,0.0273,0.0295,0.993,-0.001,0.5,0.5,0.2308,0.3828,0.6
0,0.5,0.5,6000,logreg,weighted + Platt,0.7936,0.1853,0.0288,0.0302,0.996,-0.0,0.5,0.5,0.231,0.3823,0.6
0,0.5,0.5,6000,logreg,weighted + isotonic,0.7898,0.185,0.0098,0.0185,0.948,-0.004,0.5003,0.5,0.2317,0.3825,0.6
0,0.5,0.5,6000,rf,unweighted,0.7969,0.1824,0.011,0.0149,1.007,-0.0,0.5001,0.5,0.233,0.3852,0.6
0,0.5,0.5,6000,rf,weighted,0.7968,0.1824,0.012,0.017,1.007,-0.0,0.5001,0.5,0.2338,0.3861,0.6
0,0.5,0.5,6000,rf,weighted + Platt,0.7961,0.1826,0.0132,0.0184,0.996,0.0,0.4999,0.5,0.2337,0.3864,0.6
